                  runtime  objective           gap  leaves  retic  inst_num
L20_R10_50       0.008613        1.0 -1.000000e+00      20     10        50
L20_R20_1        0.010916        1.0 -1.000000e+00      20     20         1
L20_R20_2        0.010692        3.0 -1.000000e+00      20     20         2
L20_R20_3        0.010191        1.0 -1.000000e+00      20     20         3
L20_R20_4        0.010972        4.0 -1.000000e+00      20     20         4
L20_R20_5        0.018353        2.0 -1.000000e+00      20     20         5
L20_R20_6        0.006985        3.0 -1.000000e+00      20     20         6
L20_R20_7        0.006072        2.0 -1.000000e+00      20     20         7
L20_R20_8        0.009680        3.0 -1.000000e+00      20     20         8
L20_R20_9        0.015298        4.0 -1.000000e+00      20     20         9
L20_R20_10       0.010449        2.0 -1.000000e+00      20     20        10
L20_R20_11       0.012682        4.0 -1.000000e+00      20     20        11
L20_R20_12       0.004643        3.0 -1.000000e+00      20     20        12
L20_R20_13       0.005005        4.0 -1.000000e+00      20     20        13
L20_R20_14       0.009166        1.0 -1.000000e+00      20     20        14
L20_R20_15       0.014161        4.0 -1.000000e+00      20     20        15
L20_R20_16       0.010860        4.0 -1.000000e+00      20     20        16
L20_R20_17       0.052521        3.0 -1.000000e+00      20     20        17
L20_R20_18       0.009602        4.0 -1.000000e+00      20     20        18
L20_R20_19       0.046932        3.0 -1.000000e+00      20     20        19
L20_R20_20     110.489600        3.0 -1.000000e+00      20     20        20
L20_R20_21       0.036302        3.0 -1.000000e+00      20     20        21
L20_R20_22       0.007622        1.0 -1.000000e+00      20     20        22
L20_R20_23       0.010706        4.0 -1.000000e+00      20     20        23
L20_R20_24       0.027047        2.0 -1.000000e+00      20     20        24
L20_R20_25       0.030957        3.0 -1.000000e+00      20     20        25
L20_R20_26       0.011269        3.0 -1.000000e+00      20     20        26
L20_R20_27       0.008515        3.0 -1.000000e+00      20     20        27
L20_R20_28       0.023150        3.0 -1.000000e+00      20     20        28
L20_R20_29       0.018520        4.0 -1.000000e+00      20     20        29
L20_R20_30       0.019670        6.0 -1.000000e+00      20     20        30
L20_R20_31       0.015348        2.0 -1.000000e+00      20     20        31
L20_R20_32       0.084214        4.0 -1.000000e+00      20     20        32
L20_R20_33       0.011026        2.0 -1.000000e+00      20     20        33
L20_R20_34       0.040106        5.0 -1.000000e+00      20     20        34
L20_R20_35       0.054176        3.0 -1.000000e+00      20     20        35
L20_R20_36       0.007988        3.0 -1.000000e+00      20     20        36
L20_R20_37       0.008024        4.0 -1.000000e+00      20     20        37
L20_R20_38       0.012063        3.0 -1.000000e+00      20     20        38
L20_R20_39       0.101142        8.0 -1.000000e+00      20     20        39
L20_R20_40       0.019196        4.0 -1.000000e+00      20     20        40
L20_R20_41       0.095790        4.0 -1.000000e+00      20     20        41
L20_R20_42       0.020140        5.0 -1.000000e+00      20     20        42
L20_R20_43       0.019243        4.0 -1.000000e+00      20     20        43
L20_R20_44       0.021593        3.0 -1.000000e+00      20     20        44
L20_R20_45       0.013475        2.0 -1.000000e+00      20     20        45
L20_R20_46       0.009810        2.0 -1.000000e+00      20     20        46
L20_R20_47       0.010974        6.0 -1.000000e+00      20     20        47
L20_R20_48       0.006311        2.0 -1.000000e+00      20     20        48
L20_R20_49       0.007526        4.0 -1.000000e+00      20     20        49
L20_R20_50       0.030587        3.0 -1.000000e+00      20     20        50
L20_R30_1        0.018315        4.0 -1.000000e+00      20     30         1
L20_R30_2        0.021969        4.0 -1.000000e+00      20     30         2
L20_R30_3        0.011705        6.0 -1.000000e+00      20     30         3
L20_R30_4        0.069591        6.0 -1.000000e+00      20     30         4
L20_R30_5        0.015106        4.0 -1.000000e+00      20     30         5
L20_R30_6        0.105694        3.0 -1.000000e+00      20     30         6
L20_R30_7        0.015890        7.0 -1.000000e+00      20     30         7
L20_R30_8        0.026313        8.0 -1.000000e+00      20     30         8
L20_R30_9        0.022373        6.0 -1.000000e+00      20     30         9
L20_R30_10       0.017500        7.0 -1.000000e+00      20     30        10
L20_R30_11       0.019133        5.0 -1.000000e+00      20     30        11
L20_R30_12       0.006607        3.0 -1.000000e+00      20     30        12
L20_R30_13       0.041550        6.0 -1.000000e+00      20     30        13
L20_R30_14       0.101474        5.0 -1.000000e+00      20     30        14
L20_R30_15       0.091782        5.0 -1.000000e+00      20     30        15
L20_R30_16       0.013428        6.0 -1.000000e+00      20     30        16
L20_R30_17       0.047542        5.0 -1.000000e+00      20     30        17
L20_R30_18       0.145791        8.0 -1.000000e+00      20     30        18
L20_R30_19       0.017040        6.0 -1.000000e+00      20     30        19
L20_R30_20       0.013624        4.0 -1.000000e+00      20     30        20
L20_R30_21       0.011482        5.0 -1.000000e+00      20     30        21
L20_R30_22       0.148435        5.0 -1.000000e+00      20     30        22
L20_R30_23       0.010066        6.0 -1.000000e+00      20     30        23
L20_R30_24       0.027228        5.0 -1.000000e+00      20     30        24
L20_R30_25       0.020864        2.0 -1.000000e+00      20     30        25
L20_R30_26       0.012765        5.0 -1.000000e+00      20     30        26
L20_R30_27       0.009949        7.0 -1.000000e+00      20     30        27
L20_R30_28       0.130026        7.0 -1.000000e+00      20     30        28
L20_R30_29       0.060173        5.0 -1.000000e+00      20     30        29
L20_R30_30       0.040007        5.0 -1.000000e+00      20     30        30
L20_R30_31       0.014790        6.0 -1.000000e+00      20     30        31
L20_R30_32       0.034718        6.0 -1.000000e+00      20     30        32
L20_R30_33       0.084749        7.0 -1.000000e+00      20     30        33
L20_R30_34       0.038263        6.0 -1.000000e+00      20     30        34
L20_R30_35       0.073373        5.0 -1.000000e+00      20     30        35
L20_R30_36       0.037128        7.0 -1.000000e+00      20     30        36
L20_R30_37       0.023858        3.0 -1.000000e+00      20     30        37
L20_R30_38       0.029813        6.0 -1.000000e+00      20     30        38
L20_R30_39       0.101254        8.0 -1.000000e+00      20     30        39
L20_R30_40       0.018437        4.0 -1.000000e+00      20     30        40
L20_R30_41       0.033927        7.0 -1.000000e+00      20     30        41
L20_R30_42       0.016444        5.0 -1.000000e+00      20     30        42
L20_R30_43       0.015271        3.0 -1.000000e+00      20     30        43
L20_R30_44       0.032273        8.0 -1.000000e+00      20     30        44
L20_R30_45       0.042155        3.0 -1.000000e+00      20     30        45
L20_R30_46       0.085977        8.0 -1.000000e+00      20     30        46
L20_R30_47       0.018123        4.0 -1.000000e+00      20     30        47
L20_R30_48       0.036553        5.0 -1.000000e+00      20     30        48
L20_R30_49       0.019067        5.0 -1.000000e+00      20     30        49
L20_R30_50       0.016281        7.0 -1.000000e+00      20     30        50
L20_R40_1        0.075361        8.0 -1.000000e+00      20     40         1
L20_R40_2        0.087925        6.0 -1.000000e+00      20     40         2
L20_R40_3        0.202523        9.0 -1.000000e+00      20     40         3
L20_R40_4        0.077583        4.0 -1.000000e+00      20     40         4
L20_R40_5      112.352115        8.0 -1.000000e+00      20     40         5
L20_R40_6       -1.000000       -1.0  1.666667e-01      20     40         6
L20_R40_7        0.211119        5.0 -1.000000e+00      20     40         7
L20_R40_8        0.071066        9.0 -1.000000e+00      20     40         8
L20_R40_9        0.062678        8.0 -1.000000e+00      20     40         9
L20_R40_10       0.041634        8.0 -1.000000e+00      20     40        10
L20_R40_11       0.034080       10.0 -1.000000e+00      20     40        11
L20_R40_12     126.331750       11.0 -1.000000e+00      20     40        12
L20_R40_13       0.049998       10.0 -1.000000e+00      20     40        13
L20_R40_14       0.101181        9.0 -1.000000e+00      20     40        14
L20_R40_15       0.033882        6.0 -1.000000e+00      20     40        15
L20_R40_16       0.051092       11.0 -1.000000e+00      20     40        16
L20_R40_17       0.128643       12.0 -1.000000e+00      20     40        17
L20_R40_18     155.998398        7.0 -1.000000e+00      20     40        18
L20_R40_19       0.049380        8.0 -1.000000e+00      20     40        19
L20_R40_20       0.090624        8.0 -1.000000e+00      20     40        20
L20_R40_21       0.142884        8.0 -1.000000e+00      20     40        21
L20_R40_22       0.071701       10.0 -1.000000e+00      20     40        22
L20_R40_23       0.039087       12.0 -1.000000e+00      20     40        23
L20_R40_24       0.133250        7.0 -1.000000e+00      20     40        24
L20_R40_25       0.069170        7.0 -1.000000e+00      20     40        25
L20_R40_26       0.038881        9.0 -1.000000e+00      20     40        26
L20_R40_27       0.155291        7.0 -1.000000e+00      20     40        27
L20_R40_28       0.115033       11.0 -1.000000e+00      20     40        28
L20_R40_29       0.059187        8.0 -1.000000e+00      20     40        29
L20_R40_30       0.061393       10.0 -1.000000e+00      20     40        30
L20_R40_31       0.071513        5.0 -1.000000e+00      20     40        31
L20_R40_32       0.114153       11.0 -1.000000e+00      20     40        32
L20_R40_33     111.675782        9.0 -1.000000e+00      20     40        33
L20_R40_34      91.285284       10.0 -1.000000e+00      20     40        34
L20_R40_35       0.056241        9.0 -1.000000e+00      20     40        35
L20_R40_36       0.050629        7.0 -1.000000e+00      20     40        36
L20_R40_37       0.111391        9.0 -1.000000e+00      20     40        37
L20_R40_38       0.085529        7.0 -1.000000e+00      20     40        38
L20_R40_39       0.049640        8.0 -1.000000e+00      20     40        39
L20_R40_40       0.087407       11.0 -1.000000e+00      20     40        40
L20_R40_41       0.068236        6.0 -1.000000e+00      20     40        41
L20_R40_42      91.084167        6.0 -1.000000e+00      20     40        42
L20_R40_43       0.063314        8.0 -1.000000e+00      20     40        43
L20_R40_44       0.054414        6.0 -1.000000e+00      20     40        44
L20_R40_45       0.051262        5.0 -1.000000e+00      20     40        45
L20_R40_46       0.151264        7.0 -1.000000e+00      20     40        46
L20_R40_47       0.063126        9.0 -1.000000e+00      20     40        47
L20_R40_48       0.090272       11.0 -1.000000e+00      20     40        48
L20_R40_49       0.084158       10.0 -1.000000e+00      20     40        49
L20_R40_50       0.077556        8.0 -1.000000e+00      20     40        50
L20_R50_1        0.662648       11.0 -1.000000e+00      20     50         1
L20_R50_2        0.235951       16.0 -1.000000e+00      20     50         2
L20_R50_3      103.575831       12.0 -1.000000e+00      20     50         3
L20_R50_4        0.188889       12.0 -1.000000e+00      20     50         4
L20_R50_5        0.044721       13.0 -1.000000e+00      20     50         5
L20_R50_6       -1.000000       -1.0  8.333333e-02      20     50         6
L20_R50_7        0.163375       13.0 -1.000000e+00      20     50         7
L20_R50_8        0.067747       12.0 -1.000000e+00      20     50         8
L20_R50_9        0.152455       11.0 -1.000000e+00      20     50         9
L20_R50_10     114.542980       13.0 -1.000000e+00      20     50        10
L20_R50_11       0.101813       12.0 -1.000000e+00      20     50        11
L20_R50_12       0.030157       12.0 -1.000000e+00      20     50        12
L20_R50_13       0.121640       12.0 -1.000000e+00      20     50        13
L20_R50_14       0.089826       12.0 -1.000000e+00      20     50        14
L20_R50_15       0.228010       11.0 -1.000000e+00      20     50        15
L20_R50_16       0.131901       10.0 -1.000000e+00      20     50        16
L20_R50_17       0.088993       10.0 -1.000000e+00      20     50        17
L20_R50_18       0.242823       14.0 -1.000000e+00      20     50        18
L20_R50_19       0.062536       11.0 -1.000000e+00      20     50        19
L20_R50_20       0.041183        7.0 -1.000000e+00      20     50        20
L20_R50_21       0.210881       10.0 -1.000000e+00      20     50        21
L20_R50_22       0.456499       10.0 -1.000000e+00      20     50        22
L20_R50_23       0.082078       11.0 -1.000000e+00      20     50        23
L20_R50_24       0.136583        8.0 -1.000000e+00      20     50        24
L20_R50_25       0.060063        8.0 -1.000000e+00      20     50        25
L20_R50_26       0.086177       11.0 -1.000000e+00      20     50        26
L20_R50_27      93.125481       13.0 -1.000000e+00      20     50        27
L20_R50_28       0.120531       13.0 -1.000000e+00      20     50        28
L20_R50_29       0.092555       13.0 -1.000000e+00      20     50        29
L20_R50_30       0.215693       12.0 -1.000000e+00      20     50        30
L20_R50_31       0.207823       11.0 -1.000000e+00      20     50        31
L20_R50_32       0.041861       12.0 -1.000000e+00      20     50        32
L20_R50_33     100.586372       13.0 -1.000000e+00      20     50        33
L20_R50_34       0.059573       14.0 -1.000000e+00      20     50        34
L20_R50_35       0.069614       16.0 -1.000000e+00      20     50        35
L20_R50_36       0.111382       10.0 -1.000000e+00      20     50        36
L20_R50_37       0.087003       15.0 -1.000000e+00      20     50        37
L20_R50_38       0.069837        9.0 -1.000000e+00      20     50        38
L20_R50_39       0.063380        9.0 -1.000000e+00      20     50        39
L20_R50_40       0.103974       10.0 -1.000000e+00      20     50        40
L20_R50_41       0.165824       13.0 -1.000000e+00      20     50        41
L20_R50_42      -1.000000       -1.0  1.661074e-01      20     50        42
L20_R50_43       0.072061       15.0 -1.000000e+00      20     50        43
L20_R50_44       0.283410       13.0 -1.000000e+00      20     50        44
L20_R50_45       0.148214        7.0 -1.000000e+00      20     50        45
L20_R50_46      94.558727       13.0 -1.000000e+00      20     50        46
L20_R50_47     106.240036       10.0 -1.000000e+00      20     50        47
L20_R50_48       0.042184        8.0 -1.000000e+00      20     50        48
L20_R50_49     107.568588       13.0 -1.000000e+00      20     50        49
L20_R50_50       0.054408       11.0 -1.000000e+00      20     50        50
L20_R100_1       0.872380       27.0 -1.000000e+00      20    100         1
L20_R100_2      -1.000000       -1.0  2.071778e-01      20    100         2
L20_R100_3       0.746486       24.0 -1.000000e+00      20    100         3
L20_R100_4     231.092381       29.0 -1.000000e+00      20    100         4
L20_R100_5       0.406315       25.0 -1.000000e+00      20    100         5
L20_R100_6     106.902661       25.0 -1.000000e+00      20    100         6
L20_R100_7      -1.000000       -1.0  1.000000e+20      20    100         7
L20_R100_8       1.349626       32.0 -1.000000e+00      20    100         8
L20_R100_9       0.582657       26.0 -1.000000e+00      20    100         9
L20_R100_10      0.193749       19.0 -1.000000e+00      20    100        10
L20_R100_11      2.186732       29.0 -1.000000e+00      20    100        11
L20_R100_12      0.710075       23.0 -1.000000e+00      20    100        12
L20_R100_13     -1.000000       -1.0  2.473089e-01      20    100        13
L20_R100_14      1.137635       24.0 -1.000000e+00      20    100        14
L20_R100_15      0.243793       27.0 -1.000000e+00      20    100        15
L20_R100_16     -1.000000       -1.0  3.308430e-01      20    100        16
L20_R100_17      0.590906       23.0 -1.000000e+00      20    100        17
L20_R100_18      2.839940       22.0 -1.000000e+00      20    100        18
L20_R100_19    307.529797       30.0 -1.000000e+00      20    100        19
L20_R100_20     -1.000000       -1.0  2.907697e-01      20    100        20
L20_R100_21      1.423861       28.0 -1.000000e+00      20    100        21
L20_R100_22     -1.000000       -1.0  1.000000e+20      20    100        22
L20_R100_23    129.567760       32.0 -1.000000e+00      20    100        23
L20_R100_24     -1.000000       -1.0  1.000000e+20      20    100        24
L20_R100_25      1.504859       28.0 -1.000000e+00      20    100        25
L20_R100_26     -1.000000       -1.0  8.656119e-02      20    100        26
L20_R100_27     -1.000000       -1.0  3.721414e-01      20    100        27
L20_R100_28     -1.000000       -1.0  1.882574e-01      20    100        28
L20_R100_29      0.170538       22.0 -1.000000e+00      20    100        29
L20_R100_30      0.288274       19.0 -1.000000e+00      20    100        30
L20_R100_31      1.631331       24.0 -1.000000e+00      20    100        31
L20_R100_32     -1.000000       -1.0  1.330329e-01      20    100        32
L20_R100_33     -1.000000       -1.0  1.192531e-01      20    100        33
L20_R100_34     -1.000000       -1.0  1.000000e+20      20    100        34
L20_R100_35      0.719383       26.0 -1.000000e+00      20    100        35
L20_R100_36      3.451874       33.0 -1.000000e+00      20    100        36
L20_R100_37     -1.000000       -1.0  1.417775e-01      20    100        37
L20_R100_38    192.835436       28.0 -1.000000e+00      20    100        38
L20_R100_39     -1.000000       -1.0  1.661110e-01      20    100        39
L20_R100_40     -1.000000       -1.0  7.051448e-01      20    100        40
L20_R100_41      1.835339       23.0 -1.000000e+00      20    100        41
L20_R100_42     -1.000000       -1.0  1.529834e-01      20    100        42
L20_R100_43      1.785542       24.0 -1.000000e+00      20    100        43
L20_R100_44      0.863058       28.0 -1.000000e+00      20    100        44
L20_R100_45      0.811978       25.0 -1.000000e+00      20    100        45
L20_R100_46     -1.000000       -1.0  1.722128e-01      20    100        46
L20_R100_47      0.715730       22.0 -1.000000e+00      20    100        47
L20_R100_48      0.950721       26.0 -1.000000e+00      20    100        48
L20_R100_49     -1.000000       -1.0  3.898721e-01      20    100        49
L20_R100_50     -1.000000       -1.0  7.964012e-02      20    100        50
L20_R200_1      -1.000000       -1.0  3.322039e-01      20    200         1
L20_R200_2      11.722713       56.0 -1.000000e+00      20    200         2
L20_R200_3       6.330233       48.0 -1.000000e+00      20    200         3
L20_R200_4       9.398738       55.0 -1.000000e+00      20    200         4
L20_R200_5      -1.000000       -1.0  4.563543e-01      20    200         5
L20_R200_6       8.173157       57.0 -1.000000e+00      20    200         6
L20_R200_7      -1.000000       -1.0  3.183132e-01      20    200         7
L20_R200_8      -1.000000       -1.0  1.000000e+20      20    200         8
L20_R200_9      10.096407       54.0 -1.000000e+00      20    200         9
L20_R200_10     18.211890       51.0 -1.000000e+00      20    200        10
L20_R200_11     11.738058       54.0 -1.000000e+00      20    200        11
L20_R200_12     10.709601       52.0 -1.000000e+00      20    200        12
L20_R200_13      5.864756       50.0 -1.000000e+00      20    200        13
L20_R200_14      8.406691       56.0 -1.000000e+00      20    200        14
L20_R200_15    154.871089       63.0 -1.000000e+00      20    200        15
L20_R200_16      8.824491       51.0 -1.000000e+00      20    200        16
L20_R200_17      4.851587       58.0 -1.000000e+00      20    200        17
L20_R200_18      4.200988       60.0 -1.000000e+00      20    200        18
L20_R200_19     12.331408       48.0 -1.000000e+00      20    200        19
L20_R200_20     -1.000000       -1.0  1.018634e-01      20    200        20
L20_R200_21      3.958698       52.0 -1.000000e+00      20    200        21
L20_R200_22      7.077225       46.0 -1.000000e+00      20    200        22
L20_R200_23     26.358917       54.0 -1.000000e+00      20    200        23
L20_R200_24      8.600356       50.0 -1.000000e+00      20    200        24
L20_R200_25     14.693721       56.0 -1.000000e+00      20    200        25
L20_R200_26      3.274753       56.0 -1.000000e+00      20    200        26
L20_R200_27      3.683225       51.0 -1.000000e+00      20    200        27
L20_R200_28     -1.000000       -1.0  1.000000e+20      20    200        28
L20_R200_29     12.922308       56.0 -1.000000e+00      20    200        29
L20_R200_30     13.699774       55.0 -1.000000e+00      20    200        30
L20_R200_31      6.224867       55.0 -1.000000e+00      20    200        31
L20_R200_32      3.403393       48.0 -1.000000e+00      20    200        32
L20_R200_33     16.306680       55.0 -1.000000e+00      20    200        33
L20_R200_34      7.676286       51.0 -1.000000e+00      20    200        34
L20_R200_35      5.209671       46.0 -1.000000e+00      20    200        35
L20_R200_36     12.840808       55.0 -1.000000e+00      20    200        36
L20_R200_37      7.626431       60.0 -1.000000e+00      20    200        37
L20_R200_38     -1.000000       -1.0  3.084265e-01      20    200        38
L20_R200_39     -1.000000       -1.0  2.379115e-01      20    200        39
L20_R200_40     14.696724       56.0 -1.000000e+00      20    200        40
L20_R200_41     -1.000000       -1.0  1.000000e+20      20    200        41
L20_R200_42      9.295518       57.0 -1.000000e+00      20    200        42
L20_R200_43      3.150575       51.0 -1.000000e+00      20    200        43
L20_R200_44      5.987106       46.0 -1.000000e+00      20    200        44
L20_R200_45     -1.000000       -1.0  4.033622e-01      20    200        45
L20_R200_46      8.602657       54.0 -1.000000e+00      20    200        46
L20_R200_47     10.982294       57.0 -1.000000e+00      20    200        47
L20_R200_48     13.243215       54.0 -1.000000e+00      20    200        48
L20_R200_49      8.072741       47.0 -1.000000e+00      20    200        49
L20_R200_50     10.333717       63.0 -1.000000e+00      20    200        50
L50_R5_1         0.007073        0.0 -1.000000e+00      50      5         1
L50_R5_2         0.005523        0.0 -1.000000e+00      50      5         2
L50_R5_3         0.005648        0.0 -1.000000e+00      50      5         3
L50_R5_4         0.005061        0.0 -1.000000e+00      50      5         4
L50_R5_5         0.004917        0.0 -1.000000e+00      50      5         5
L50_R5_6         0.004072        0.0 -1.000000e+00      50      5         6
L50_R5_7         0.004680        0.0 -1.000000e+00      50      5         7
L50_R5_8         0.006079        0.0 -1.000000e+00      50      5         8
L50_R5_9         0.005303        0.0 -1.000000e+00      50      5         9
L50_R5_10        0.005254        0.0 -1.000000e+00      50      5        10
L50_R5_11        0.005240        0.0 -1.000000e+00      50      5        11
L50_R5_12        0.005495        0.0 -1.000000e+00      50      5        12
L50_R5_13        0.005714        0.0 -1.000000e+00      50      5        13
L50_R5_14        0.004916        0.0 -1.000000e+00      50      5        14
L50_R5_15        0.005464        0.0 -1.000000e+00      50      5        15
L50_R5_16        0.005261        0.0 -1.000000e+00      50      5        16
L50_R5_17        0.005255        0.0 -1.000000e+00      50      5        17
L50_R5_18        0.005719        0.0 -1.000000e+00      50      5        18
L50_R5_19        0.009282        0.0 -1.000000e+00      50      5        19
L50_R5_20        0.005415        0.0 -1.000000e+00      50      5        20
L50_R5_21        0.004096        0.0 -1.000000e+00      50      5        21
L50_R5_22        0.004021        0.0 -1.000000e+00      50      5        22
L50_R5_23        0.003777        0.0 -1.000000e+00      50      5        23
L50_R5_24        0.004036        0.0 -1.000000e+00      50      5        24
L50_R5_25        0.003886        0.0 -1.000000e+00      50      5        25
L50_R5_26        0.004044        0.0 -1.000000e+00      50      5        26
L50_R5_27        0.004039        0.0 -1.000000e+00      50      5        27
L50_R5_28        0.003744        0.0 -1.000000e+00      50      5        28
L50_R5_29        0.004192        0.0 -1.000000e+00      50      5        29
L50_R5_30        0.007509        1.0 -1.000000e+00      50      5        30
L50_R5_31        0.003898        0.0 -1.000000e+00      50      5        31
L50_R5_32        0.005259        0.0 -1.000000e+00      50      5        32
L50_R5_33        0.005028        0.0 -1.000000e+00      50      5        33
L50_R5_34        0.019083        0.0 -1.000000e+00      50      5        34
